"Totale della popolazione residente al 1° Gennaio 2021 per sesso e stato civile - dati provvisori"
"Tutte le regioni"
"Codice regione";"Regione";"Totale Maschi";"Totale Femmine";"Maschi + Femmine"
1;Piemonte;2077405;2195805;4273210
2;Valle d'Aosta / Vallée d'Aoste;60557;63338;123895
3;Lombardia;4882206;5084786;9966992
4;Trentino-Alto Adige/Südtirol;531999;546461;1078460
5;Veneto;2377891;2474562;4852453
6;Friuli-Venezia Giulia;583280;615473;1198753
7;Liguria;723647;786158;1509805
8;Emilia-Romagna;2165612;2279937;4445549
9;Toscana;1773215;1895118;3668333
10;Umbria;417598;447415;865013
11;Marche;730536;770870;1501406
12;Lazio;2761729;2959067;5720796
13;Abruzzo;627509;657747;1285256
14;Molise;145946;150601;296547
15;Campania;2767607;2912152;5679759
16;Puglia;1910616;2016315;3926931
17;Basilicata;269350;278229;547579
18;Calabria;919061;958667;1877728
19;Sicilia;2353823;2487053;4840876
20;Sardegna;784501;813724;1598225
Totale;;28864088;30393478;59257566

