Territorio;Età;Value;
Piemonte;0;26982;
Valle d'Aosta / Vallée d'Aoste;0;783;
Liguria;0;8712;
Lombardia;0;68923;
Provincia Autonoma Bolzano / Bozen;0;5180;
Provincia Autonoma Trento;0;4060;
Veneto;0;32549;
Friuli-Venezia Giulia;0;7428;
Emilia-Romagna;0;29918;
Toscana;0;22223;
Umbria;0;5214;
Marche;0;9426;
Lazio;0;37378;
Abruzzo;0;8189;
Molise;0;1698;
Campania;0;44361;
Puglia;0;26031;
Basilicata;0;3484;
Calabria;0;13740;
Sicilia;0;36671;
Sardegna;0;8164;
Provincia Autonoma Trento;1;4286;
Valle d'Aosta / Vallée d'Aoste;1;827;
Emilia-Romagna;1;31261;
Basilicata;1;3613;
Lombardia;1;73287;
Provincia Autonoma Bolzano / Bozen;1;5279;
Liguria;1;8757;
Marche;1;9690;
Sicilia;1;37884;
Sardegna;1;8757;
Calabria;1;14228;
Abruzzo;1;8509;
Lazio;1;39562;
Piemonte;1;28010;
Veneto;1;33582;
Puglia;1;27207;
Friuli-Venezia Giulia;1;7523;
Toscana;1;23394;
Molise;1;1881;
Campania;1;46096;
Umbria;1;5570;
Valle d'Aosta / Vallée d'Aoste;2;892;
Emilia-Romagna;2;33041;
Sardegna;2;9262;
Basilicata;2;3659;
Campania;2;47181;
Toscana;2;24909;
Marche;2;10216;
Umbria;2;5748;
Puglia;2;28522;
Molise;2;1873;
Sicilia;2;39549;
Abruzzo;2;8873;
Calabria;2;14811;
Friuli-Venezia Giulia;2;7874;
Veneto;2;35664;
Lazio;2;42506;
Provincia Autonoma Trento;2;4437;
Piemonte;2;29119;
Lombardia;2;76708;
Liguria;2;9077;
Provincia Autonoma Bolzano / Bozen;2;5339;
Umbria;3;6034;
Lazio;3;44454;
Abruzzo;3;9530;
Campania;3;49336;
Emilia-Romagna;3;33968;
Friuli-Venezia Giulia;3;8266;
Provincia Autonoma Trento;3;4599;
Veneto;3;37170;
Molise;3;2076;
Basilicata;3;3904;
Valle d'Aosta / Vallée d'Aoste;3;880;
Liguria;3;9804;
Provincia Autonoma Bolzano / Bozen;3;5444;
Piemonte;3;30954;
Marche;3;10759;
Sardegna;3;10032;
Lombardia;3;80142;
Toscana;3;26259;
Calabria;3;15389;
Sicilia;3;40538;
Puglia;3;29759;
Valle d'Aosta / Vallée d'Aoste;4;950;
Veneto;4;38286;
Lombardia;4;82815;
Piemonte;4;32210;
Liguria;4;10020;
Lazio;4;46634;
Umbria;4;6404;
Abruzzo;4;9986;
Molise;4;2027;
Campania;4;49581;
Friuli-Venezia Giulia;4;8680;
Provincia Autonoma Trento;4;4772;
Emilia-Romagna;4;35530;
Puglia;4;30711;
Calabria;4;15650;
Provincia Autonoma Bolzano / Bozen;4;5531;
Toscana;4;27186;
Sardegna;4;10450;
Marche;4;11432;
Basilicata;4;3989;
Sicilia;4;40639;
Piemonte;5;32927;
Valle d'Aosta / Vallée d'Aoste;5;974;
Provincia Autonoma Trento;5;4897;
Toscana;5;27756;
Lombardia;5;85627;
Veneto;5;39373;
Liguria;5;10314;
Emilia-Romagna;5;36632;
Friuli-Venezia Giulia;5;8766;
Provincia Autonoma Bolzano / Bozen;5;5532;
Umbria;5;6476;
Marche;5;11869;
Lazio;5;47786;
Abruzzo;5;10148;
Molise;5;2102;
Campania;5;50327;
Puglia;5;31065;
Basilicata;5;4035;
Calabria;5;15935;
Sicilia;5;41946;
Sardegna;5;11028;
Emilia-Romagna;6;37561;
Provincia Autonoma Trento;6;4976;
Molise;6;2148;
Piemonte;6;34280;
Lombardia;6;87658;
Valle d'Aosta / Vallée d'Aoste;6;1045;
Veneto;6;40745;
Basilicata;6;4049;
Sicilia;6;43035;
Calabria;6;16061;
Abruzzo;6;10349;
Lazio;6;49519;
Friuli-Venezia Giulia;6;9278;
Provincia Autonoma Bolzano / Bozen;6;5690;
Sardegna;6;11297;
Toscana;6;29298;
Puglia;6;32462;
Campania;6;50988;
Liguria;6;10952;
Marche;6;12184;
Umbria;6;6893;
Basilicata;7;4040;
Sardegna;7;11636;
Lazio;7;50385;
Sicilia;7;42436;
Umbria;7;7140;
Abruzzo;7;10465;
Molise;7;2186;
Marche;7;12503;
Calabria;7;16119;
Toscana;7;29581;
Puglia;7;33094;
Campania;7;52032;
Provincia Autonoma Bolzano / Bozen;7;5429;
Lombardia;7;89162;
Piemonte;7;35165;
Provincia Autonoma Trento;7;5205;
Emilia-Romagna;7;38482;
Valle d'Aosta / Vallée d'Aoste;7;1026;
Veneto;7;41695;
Friuli-Venezia Giulia;7;9456;
Liguria;7;11050;
Basilicata;8;4408;
Sardegna;8;12242;
Piemonte;8;36486;
Provincia Autonoma Trento;8;5270;
Lombardia;8;92277;
Emilia-Romagna;8;39622;
Provincia Autonoma Bolzano / Bozen;8;5652;
Friuli-Venezia Giulia;8;9853;
Valle d'Aosta / Vallée d'Aoste;8;1135;
Lazio;8;53324;
Calabria;8;16487;
Umbria;8;7479;
Abruzzo;8;11029;
Molise;8;2236;
Liguria;8;11681;
Veneto;8;43675;
Puglia;8;34296;
Sicilia;8;44568;
Marche;8;12781;
Toscana;8;31379;
Campania;8;54401;
Puglia;9;35405;
Calabria;9;16761;
Toscana;9;31751;
Campania;9;55547;
Marche;9;13430;
Lazio;9;53193;
Friuli-Venezia Giulia;9;10042;
Sardegna;9;12861;
Piemonte;9;36761;
Umbria;9;7568;
Valle d'Aosta / Vallée d'Aoste;9;1189;
Lombardia;9;94084;
Basilicata;9;4388;
Provincia Autonoma Bolzano / Bozen;9;5552;
Sicilia;9;44651;
Emilia-Romagna;9;40346;
Liguria;9;11504;
Molise;9;2306;
Provincia Autonoma Trento;9;5370;
Veneto;9;44483;
Abruzzo;9;11149;
Sardegna;10;13266;
Piemonte;10;37638;
Valle d'Aosta / Vallée d'Aoste;10;1159;
Provincia Autonoma Bolzano / Bozen;10;5539;
Sicilia;10;46097;
Provincia Autonoma Trento;10;5579;
Basilicata;10;4509;
Emilia-Romagna;10;41686;
Molise;10;2423;
Umbria;10;7749;
Abruzzo;10;11494;
Calabria;10;17252;
Puglia;10;36583;
Liguria;10;11975;
Lombardia;10;96773;
Marche;10;13614;
Toscana;10;32788;
Campania;10;57278;
Lazio;10;54471;
Veneto;10;45748;
Friuli-Venezia Giulia;10;10426;
Piemonte;11;38691;
Valle d'Aosta / Vallée d'Aoste;11;1224;
Liguria;11;12539;
Veneto;11;46481;
Provincia Autonoma Trento;11;5514;
Emilia-Romagna;11;42352;
Provincia Autonoma Bolzano / Bozen;11;5506;
Marche;11;13986;
Sicilia;11;47195;
Umbria;11;7717;
Toscana;11;32891;
Molise;11;2269;
Lombardia;11;98748;
Friuli-Venezia Giulia;11;10581;
Lazio;11;54678;
Abruzzo;11;11320;
Basilicata;11;4732;
Calabria;11;17481;
Campania;11;58709;
Puglia;11;36999;
Sardegna;11;13314;
Lombardia;12;98917;
Liguria;12;12788;
Emilia-Romagna;12;42173;
Umbria;12;8135;
Friuli-Venezia Giulia;12;10559;
Lazio;12;55091;
Molise;12;2471;
Veneto;12;47414;
Calabria;12;17694;
Abruzzo;12;11702;
Sicilia;12;47999;
Puglia;12;37496;
Marche;12;14035;
Basilicata;12;4865;
Toscana;12;33921;
Campania;12;59494;
Sardegna;12;13341;
Piemonte;12;38934;
Valle d'Aosta / Vallée d'Aoste;12;1204;
Provincia Autonoma Bolzano / Bozen;12;5681;
Provincia Autonoma Trento;12;5619;
Marche;13;13868;
Calabria;13;17761;
Liguria;13;12504;
Sardegna;13;13316;
Toscana;13;33570;
Lombardia;13;97756;
Provincia Autonoma Bolzano / Bozen;13;5746;
Valle d'Aosta / Vallée d'Aoste;13;1205;
Basilicata;13;4799;
Sicilia;13;47751;
Emilia-Romagna;13;41855;
Veneto;13;46931;
Abruzzo;13;11513;
Piemonte;13;38941;
Puglia;13;37923;
Molise;13;2479;
Provincia Autonoma Trento;13;5459;
Umbria;13;8112;
Lazio;13;55348;
Friuli-Venezia Giulia;13;10725;
Campania;13;60762;
Sicilia;14;48712;
Sardegna;14;13403;
Liguria;14;12696;
Piemonte;14;38373;
Valle d'Aosta / Vallée d'Aoste;14;1238;
Lombardia;14;98124;
Provincia Autonoma Bolzano / Bozen;14;5702;
Provincia Autonoma Trento;14;5531;
Veneto;14;47014;
Friuli-Venezia Giulia;14;10708;
Emilia-Romagna;14;41516;
Toscana;14;33397;
Umbria;14;7992;
Marche;14;13646;
Lazio;14;54937;
Abruzzo;14;11387;
Molise;14;2461;
Campania;14;61068;
Puglia;14;38189;
Basilicata;14;4957;
Calabria;14;18291;
Piemonte;15;38154;
Valle d'Aosta / Vallée d'Aoste;15;1151;
Liguria;15;12628;
Lombardia;15;95895;
Provincia Autonoma Bolzano / Bozen;15;5831;
Provincia Autonoma Trento;15;5597;
Veneto;15;46659;
Friuli-Venezia Giulia;15;10517;
Emilia-Romagna;15;40819;
